,Date,Close,Volume,Adj Close,^DJI_Close,^IXIC_Close,^GSPC_Close,^RLG_Close,^NYA_Close,^VIX_Close,DX-Y.NYB_Close,EURUSD=X_Close,GBPUSD=X_Close,GC=F_Close,SI=F_Close,CL=F_Close,WM1NS,WM2NS,ICSA,CCSA,JTSJOL,PAYEMS,RSXFS,TCU,UMCSENT,BUSINV,INDPRO,GACDFSA066MSFRBPHI,GACDISA066MSFRBNY,BACTSAMFRBDAL,IR,IQ,PPIACO,CPIAUCSL,CPILFESL,MICH,CSCICP03USM665S,Grow,News_Score
30,2015-02-17,31.957500457763672,252609600,28.83587455749512,18047.580078125,4899.27001953125,2100.340087890625,996.9000244140624,11054.4697265625,15.800000190734863,94.05999755859376,1.1334012746810913,1.5356265306472778,1208.0999755859375,16.36199951171875,53.52999877929688,2927.6,11854.8,285000.0,2319000.0,5466.0,140829.0,385104.0,78.1088,95.4,1796198.0,102.1554,10.3,10.6,-13.2,125.5,125.9,191.1,235.342,240.172,2.8,101.145431475701,True,0.5425898265469293
31,2015-02-18,32.18000030517578,179566800,29.036643981933597,18029.849609375,4906.35986328125,2099.679931640625,999.1699829101562,11064.08984375,15.449999809265137,94.1999969482422,1.1404719352722168,1.5353436470031738,1199.699951171875,16.25,52.13999938964844,2927.6,11854.8,285000.0,2319000.0,5466.0,140829.0,385104.0,78.1088,95.4,1796198.0,102.1554,10.3,10.6,-13.2,125.5,125.9,191.1,235.342,240.172,2.8,101.145431475701,True,0.5
32,2015-02-19,32.11249923706055,149449600,28.97572898864746,17985.76953125,4924.7001953125,2097.449951171875,1000.9400024414062,11038.259765625,15.289999961853027,94.4000015258789,1.1400039196014404,1.543900728225708,1207.0999755859375,16.371000289916992,51.15999984741211,2927.6,11854.8,285000.0,2319000.0,5466.0,140829.0,385104.0,78.1088,95.4,1796198.0,102.1554,10.3,10.6,-13.2,125.5,125.9,191.1,235.342,240.172,2.8,101.145431475701,False,0.6519649917402943
33,2015-02-20,32.375,195793600,29.21259117126465,18140.439453125,4955.97021484375,2110.300048828125,1007.8699951171876,11108.669921875,14.300000190734863,94.25,1.1366735696792605,1.5419963598251345,1204.4000244140625,16.26300048828125,50.34000015258789,2927.6,11854.8,285000.0,2319000.0,5466.0,140829.0,385104.0,78.1088,95.4,1796198.0,102.1554,10.3,10.6,-13.2,125.5,125.9,191.1,235.342,240.172,2.8,101.145431475701,True,0.5
34,2015-02-23,33.25,283896400,30.002117156982425,18116.83984375,4960.97021484375,2109.659912109375,1008.5900268554688,11074.580078125,14.5600004196167,94.56999969482422,1.1381484270095823,1.5389113426208496,1200.300048828125,16.246999740600586,49.45000076293945,3005.0,11840.5,305000.0,2341000.0,5466.0,140829.0,385104.0,78.1088,95.4,1796198.0,102.1554,10.3,10.6,-13.2,125.5,125.9,191.1,235.342,240.172,2.8,101.145431475701,True,0.5636574001780368
35,2015-02-24,33.04249954223633,276912400,29.81489372253418,18209.189453125,4968.1201171875,2115.47998046875,1009.9000244140624,11122.1103515625,13.6899995803833,94.48999786376952,1.1332985162734983,1.5452368259429932,1196.9000244140625,16.18199920654297,49.27999877929688,3005.0,11840.5,305000.0,2341000.0,5466.0,140829.0,385104.0,78.1088,95.4,1796198.0,102.1554,10.3,10.6,-13.2,125.5,125.9,191.1,235.342,240.172,2.8,101.145431475701,False,0.5
36,2015-02-25,32.1974983215332,298846800,29.05242729187012,18224.5703125,4967.14013671875,2113.860107421875,1010.5700073242188,11117.9296875,13.84000015258789,94.20999908447266,1.1339025497436523,1.545905590057373,1201.0,16.423999786376953,50.9900016784668,3005.0,11840.5,305000.0,2341000.0,5466.0,140829.0,385104.0,78.1088,95.4,1796198.0,102.1554,10.3,10.6,-13.2,125.5,125.9,191.1,235.342,240.172,2.8,101.145431475701,False,0.3069482020877617
37,2015-02-26,32.60499954223633,365150000,29.42012023925781,18214.419921875,4987.89013671875,2110.739990234375,1010.9000244140624,11082.099609375,13.90999984741211,95.29000091552734,1.1363636255264282,1.552891492843628,1209.5999755859375,16.58300018310547,48.16999816894531,3005.0,11840.5,305000.0,2341000.0,5466.0,140829.0,385104.0,78.1088,95.4,1796198.0,102.1554,10.3,10.6,-13.2,125.5,125.9,191.1,235.342,240.172,2.8,101.145431475701,True,0.5023531124887082
38,2015-02-27,32.1150016784668,248059200,28.97799491882324,18132.69921875,4963.52978515625,2104.5,1007.260009765625,11062.7900390625,13.34000015258789,95.25,1.1205360889434814,1.5418059825897217,1212.5999755859375,16.51300048828125,49.7599983215332,3005.0,11840.5,305000.0,2341000.0,5466.0,140829.0,385104.0,78.1088,95.4,1796198.0,102.1554,10.3,10.6,-13.2,125.5,125.9,191.1,235.342,240.172,2.8,101.145431475701,False,0.0557994702637687
39,2015-03-02,32.272499084472656,192386800,29.12010955810547,18288.630859375,5008.10009765625,2117.389892578125,1015.3400268554688,11102.8203125,13.039999961853027,95.45999908447266,1.1161960363388062,1.5406184196472168,1207.699951171875,16.406999588012695,49.59000015258789,3082.6,11918.4,317000.0,2357000.0,5210.0,140924.0,391056.0,77.8113,93.0,1799349.0,101.8077,7.2,3.7,-17.4,125.3,125.9,191.5,235.976,240.755,3.0,101.045977420683,True,0.5427719820327249
